Name,Artists,Album,Duration,Popularity,Song ID,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo
My Dawg,21 Savage/Metro Boomin,SAVAGE MODE II,181715,71,42Tohunwlh34o0mgxYx5iq,0,0,4,0.0652,0.831,0.532,0,0.464,-5.319,0.301,0.364,140.105
Don't Come Out The House (with 21 Savage),Metro Boomin/21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),168346,68,2Grb4G6t9VIqo6moKUloom,1,1,4,0.00661,0.87,0.35,0.000483,0.108,-6.082,0.277,0.175,74.963
Ric Flair Drip (& Metro Boomin),Offset/Metro Boomin,Without Warning,172800,82,7sO5G9EABYOXQKNPNiE9NR,9,1,4,0.149,0.88,0.428,5.07e-05,0.114,-8.28,0.206,0.333,100.007
Mad Stalkers,21 Savage/Offset/Metro Boomin,Without Warning,202666,60,6HR1z11h0ROUlWP4Kx8Z7G,10,0,4,0.147,0.9,0.365,0.185,0.179,-6.395,0.235,0.136,135.003
Bank Account,21 Savage,Issa Album,220306,79,2fQrGHiQOvpL9UgPvtYy6G,8,0,4,0.0151,0.884,0.346,7.04e-06,0.0871,-8.228,0.351,0.376,75.016
Dead People,21 Savage,Issa Album,147426,55,74BIr8H03lr5L6LZ1friIa,5,0,4,0.297,0.835,0.521,0.000458,0.115,-11.666,0.343,0.211,158.923
Say You Love Me,Chris Brown/Young Thug,Slime & B,172933,63,4xrpNY9y0FZnxVznSwM4cw,11,1,4,0.041,0.949,0.461,2.39e-06,0.083,-9.024,0.234,0.655,135.919
Big Slimes (feat. Gunna & Lil Duke),Chris Brown/Young Thug/Gunna/Lil Duke,Slime & B,327920,56,4dhZy7EbsbhwIS7C6Ct8mI,7,0,4,0.0771,0.785,0.687,0,0.119,-9.241,0.168,0.63,141.003
Sup Mate (feat. Future),Young Thug/Future,So Much Fun (Deluxe),238026,48,0F7uqQx9trviYhGwD0GD9B,1,1,4,0.000786,0.874,0.552,0.286,0.144,-7.951,0.271,0.521,147.043
Cartier Gucci Scarf (feat. Lil Duke),Young Thug/Lil Duke,So Much Fun (Deluxe),198173,42,3J7mXGLaO87MFu42WAb66h,1,0,4,0.0508,0.935,0.505,0,0.0841,-7.155,0.0931,0.183,128.044
STS (feat. Strick),Young Thug/Young Stoner Life Records/Strick,Slime Language,219413,40,2VypG9FeVsKkYyvsYG8PUU,0,1,4,0.0224,0.859,0.599,0,0.279,-10.546,0.238,0.539,140.066
Future Swag,Young Thug,JEFFERY,165866,47,1ckxFDBKrcepE6pDmayXzP,9,1,4,0.0107,0.674,0.664,0,0.275,-6.021,0.0906,0.451,154.039
Pick Up The Phone (feat. Quavo),Young Thug/Travis Scott/Quavo,JEFFERY,252262,0,5NAMZI9lVhxNa6AZp3iQVH,7,0,4,0.115,0.706,0.716,0,0.316,-4.263,0.0768,0.459,136.904
With Them,Young Thug,Slime Season 3,197746,59,0tISnxqgVmxqhVghsTi2Rr,9,1,4,0.00218,0.926,0.517,0,0.091,-6.794,0.184,0.284,132.07
Digits,Young Thug,Slime Season 3,176386,66,4cg1yakyRSIOjxKM2I7J1q,10,0,4,0.0325,0.769,0.632,0,0.116,-4.228,0.0537,0.294,131.932
Ridin' (feat. Lil Durk),Young Thug/Lil Durk,I'm Up,248888,40,0sMZD2KXYkkR0xDZiBoI7g,9,1,4,0.133,0.861,0.604,0,0.142,-9.071,0.206,0.39,107.99
Hercules,Young Thug,I'm Up,280831,57,5MD2QLnFM2ChpKAh33z0zr,5,1,4,0.0324,0.742,0.559,0,0.0987,-5.876,0.141,0.431,146.923
With That (feat. Duke),Young Thug/Duke,Barter 6,202533,59,6o4nVtywF4F75RkOcDxrtd,9,0,4,0.0659,0.751,0.597,0,0.0881,-6.59,0.125,0.159,123.997
Check,Young Thug,Barter 6,230693,64,1jk9c0gZI0wbn5GvAj7PBV,0,0,4,0.0428,0.667,0.581,0,0.183,-5.164,0.323,0.368,110.953
Dream (feat. Yak Gotti),Young Thug/Yak Gotti,Barter 6,181400,47,1SkR9g1l9NipSZhZPJsbOT,1,1,4,0.0448,0.854,0.468,0,0.165,-6.506,0.384,0.223,140.096
Dome (feat. Duke),Young Thug/Duke,Barter 6,231293,49,5kBmoWvzfQgpd1pVGwFwab,5,0,4,0.0383,0.843,0.564,0,0.39,-6.004,0.242,0.565,112.938
Halftime,Young Thug,Barter 6,226733,56,4BP0An7SXctTY4kF41JxIQ,11,0,4,0.0641,0.71,0.486,0,0.112,-6.221,0.251,0.17,133.284
WUNNA FLO (feat. Yak Gotti),Gunna/Yak Gotti,WUNNA (Deluxe),177213,56,7uZXXMz8td5gRf75oupj9B,5,0,4,0.218,0.918,0.461,0,0.0914,-8.855,0.307,0.556,120.013
STREET SWEEPER (feat. Future),Gunna/Future,WUNNA (Deluxe),192400,61,3pjzb1lnMOJbWbghMGSp23,1,1,4,0.107,0.788,0.443,0,0.115,-9.021,0.341,0.221,126.071
ARGENTINA,Gunna,WUNNA (Deluxe),149133,52,51eCFwRlu0Hj3hKeZ4MHoD,1,1,4,0.0912,0.804,0.725,0,0.0708,-9.463,0.0838,0.356,139.967
Baby Birkin,Gunna,Drip or Drown 2,181948,66,0BOmhToQ03yOdpzYKMEnAg,2,1,4,0.232,0.848,0.649,0,0.101,-6.083,0.315,0.629,118.04
Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),Lil Baby/Gunna/Lil Durk/NAV,Drip Harder,187464,63,6PoKfDY78ih5OveWirggRX,10,0,4,0.105,0.859,0.506,0,0.113,-8.115,0.418,0.153,140.973
Business Is Business (Lil Baby & Gunna),Lil Baby/Gunna,Drip Harder,162268,60,7roKDmJDOzkpfGpUQJ5EnL,7,0,4,0.288,0.821,0.636,0,0.104,-6.038,0.0899,0.4,142.008
Belly (Lil Baby & Gunna),Lil Baby/Gunna,Drip Harder,191724,57,1yQvL8SzbF5JCroRKk9F07,1,1,4,0.175,0.766,0.692,0,0.0844,-5.343,0.0705,0.426,120.028
Deep End (Lil Baby & Gunna),Lil Baby,Drip Harder,174661,54,16QjPRt5HYK0dnLGmGRCvf,11,1,4,0.257,0.658,0.535,0,0.0981,-8.197,0.515,0.395,150.055
World Is Yours (Lil Baby & Gunna),Gunna,Drip Harder,157198,54,0p0jvYdazuWBMC8QacxpUH,6,1,4,0.113,0.834,0.557,0,0.0694,-7.148,0.543,0.575,109.867
Style Stealer (Lil Baby & Gunna),Gunna,Drip Harder,185381,53,1jzOG0T6JjvaOoHgzl91Nd,1,0,4,0.0741,0.808,0.523,0.000295,0.0957,-7.034,0.0605,0.321,155.998
Never Recover (Lil Baby & Gunna Drake),Lil Baby/Gunna/Drake,Drip Harder,194732,70,6wWaVoUOzLQJHd3bWAUpdZ,1,0,4,0.0677,0.753,0.686,0,0.193,-5.415,0.284,0.886,132.055
Top Off,Gunna,Drip Season 3 (Deluxe),197420,63,0HCnj7pfrvshnocOJUFeit,1,1,4,0.0103,0.906,0.395,0.000195,0.117,-11.277,0.206,0.376,146.056
XO Tour Llif3,Lil Uzi Vert,Luv Is Rage 2,182706,84,7GX5flRQZVHRAGd6B4TmDO,11,0,4,0.00264,0.732,0.75,0,0.109,-6.366,0.231,0.401,155.096
20 Min,Lil Uzi Vert,Luv Is Rage 2 (Deluxe),220586,83,0uxSUdBrJy9Un0EYoBowng,8,0,4,0.109,0.773,0.75,0,0.174,-4.009,0.117,0.783,123.426
Money Longer,Lil Uzi Vert,Lil Uzi Vert vs. The World,198944,75,0B8QzDH7YWih85V5SEMnyJ,5,0,4,0.0541,0.795,0.568,0,0.108,-7.817,0.142,0.478,136.173
Rockstar,Lil Migo,Rockstar,125074,46,6VfYstlYa70wcAxA3EPQCK,2,1,4,0.0293,0.959,0.459,0,0.377,-6.297,0.351,0.675,122.975
2 Legit,Freddie Gibbs,Freddie,147631,40,1Ng8P0sQADZALMSUR0WPmi,5,0,4,0.274,0.772,0.619,0,0.502,-4.397,0.373,0.561,152.376
Where They Do That,Blac Youngsta,F*ck Everybody 3,194320,48,0ob26YsboDpkfyTOTln82d,2,1,4,0.0461,0.786,0.666,0,0.208,-8.175,0.384,0.667,168.0
Sleeping On The Floor,Future/Lil Uzi Vert,Pluto x Baby Pluto,167397,70,0DUHmrwC8ZviGGC2o2JBy1,11,1,4,0.0233,0.851,0.621,0,0.161,-6.679,0.362,0.532,150.969
Gmail,Sheck Wes,MUDBOY,216946,48,1oU2vrVzQxqoZJZSw80Ven,8,1,4,0.07,0.763,0.708,0.0106,0.13,-6.297,0.134,0.732,160.035
Cloned Existence,UnoTheActivist,Limbus Pt. 2,215213,40,37R4QzUNmA5mat4PKA2tHW,10,0,4,0.0232,0.901,0.725,0,0.124,-6.047,0.33,0.364,141.985
Hotel Lobby,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe),151011,71,5xKXcU8tpSYz7C7wrMMYec,11,1,4,0.198,0.688,0.61,0.00154,0.114,-6.79,0.109,0.201,88.995
Welcome To The Party,Pop Smoke,Meet The Woo (Deluxe Version),214960,59,4dpgUETtAY1YLAHulN0UtP,2,1,4,0.0134,0.637,0.723,7.87e-05,0.196,-5.547,0.091,0.228,143.013
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke/A Boogie Wit da Hoodie,Shoot For The Stars Aim For The Moon (Deluxe),190534,87,2r6OAV3WsYtXuXjvJ1lIDi,10,0,4,0.0187,0.905,0.647,0,0.282,-5.065,0.107,0.367,130.97
Paranoia (feat. Gunna & Young Thug),Pop Smoke/Gunna/Young Thug,Shoot For The Stars Aim For The Moon (Deluxe),212658,73,3QqJ44HiM84iyZS0G2IKIP,2,0,1,0.231,0.568,0.646,0,0.12,-4.369,0.219,0.24,143.877
Christopher Walking,Pop Smoke,Meet The Woo 2 (Deluxe),190680,65,6S380PQvuw8SQzsGygd6I4,6,0,4,0.0115,0.773,0.743,0,0.066,-5.106,0.242,0.772,140.992
Invincible,Pop Smoke,Meet The Woo 2 (Deluxe),127546,64,4lCSOu4tsSlljiQUlWJYVt,11,0,4,0.127,0.731,0.734,0,0.268,-5.652,0.273,0.625,142.983
Dior (with Gunna) - Remix,Pop Smoke/Gunna,Meet The Woo 2 (Deluxe),230386,70,5R9k9x85lAYbamdUoKAJvj,7,1,4,0.177,0.73,0.816,1.23e-05,0.415,-5.402,0.304,0.803,142.054
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott/Young Thug/M.I.A.,FRANCHISE (feat. Young Thug & M.I.A.),202794,84,4jVBIpuOiMj1crqd8LoCrJ,8,0,4,0.00671,0.835,0.699,0,0.195,-5.405,0.277,0.547,154.981
Perkys Calling,Future,Purple Reign,246360,62,05nB8pRwwbKA2fsKK1nOyE,9,1,4,0.0179,0.779,0.547,0,0.101,-7.869,0.51,0.0993,156.131
Intro,Lil Baby,Harder Than Ever,93337,50,3X8Nrq4TvSd54ymTiXYcD6,0,1,4,0.00162,0.818,0.579,0,0.151,-7.699,0.207,0.311,121.025
Its Official,PDE Twin/Young Nudy,Its Official,187631,11,3e9XIReZpQHD3X4utMq48M,1,1,4,0.0393,0.82,0.569,0,0.111,-9.476,0.405,0.461,164.035
NBAYOUNGBOAT,Lil Yachty/YoungBoy Never Broke Again,Lil Boat 2,139845,63,6K2anECyrckidwf5wxS78Q,11,1,4,0.0515,0.769,0.807,0,0.111,-2.966,0.306,0.364,82.422
Federal Fed (feat. Future),Moneybagg Yo/Future,Time Served,209575,52,7hpCaD1ILnO9GoMQvj5oWI,1,1,4,0.00881,0.796,0.644,0,0.126,-5.945,0.175,0.242,138.04
Now,Future,56 Nights,161488,39,5hDzdpEb5cG3lhX6EAQqQ8,2,1,4,0.346,0.773,0.473,8.24e-06,0.228,-9.202,0.359,0.155,118.908
Feed Me Dope,Future,SUPER SLIMEY,166693,55,3lyeSiAIdLoZUHhV8psOTI,8,0,4,0.0118,0.853,0.688,0,0.151,-6.509,0.296,0.565,150.012
I Get the Bag (feat. Migos),Gucci Mane/Migos,Mr. Davis,233087,73,1XRgIKC5TPwo7nWGyKqgG0,11,1,4,0.0232,0.89,0.633,0.000343,0.0993,-5.475,0.168,0.425,139.948
EA (feat. 21 Savage),Young Nudy/21 Savage,SlimeBall 2,227175,62,68MTDH8Kk4jBEV1ah0n89s,10,0,5,0.261,0.451,0.876,0,0.098,-5.205,0.414,0.227,87.306
Know What's Happenin,Young Nudy,SlimeBall 3,205346,36,5xpEQ8JRnuKPLDve8ry24T,7,1,4,0.069,0.739,0.73,5.77e-05,0.158,-2.691,0.221,0.525,159.958
SRT (feat. BIG30 & Pooh Shiesty),Moneybagg Yo/Big 30/Pooh Shiesty,Code Red,157480,60,0VohK45FIUHEMBbfUw8iBM,11,1,4,0.0635,0.92,0.716,0,0.109,-4.331,0.298,0.752,128.023
BLACK METAL TERRORIST | 13 M T,Denzel Curry,TA13OO,161626,52,5vm7y9SmcH0S1NOQanb8rQ,0,0,4,0.0182,0.626,0.659,1.01e-06,0.348,-8.324,0.129,0.112,77.005
AR Pistols,Germ,The Hijinx Tape,126923,33,2QoXCOyH7MVLGAiZuFgRXB,9,1,4,0.135,0.786,0.609,0,0.0957,-6.851,0.419,0.272,181.885
Slip On A Banana Clip,$uicideBoy$/Germ,DIRTIERNASTIER$UICIDE,137194,62,2wzpr7E2FkOISAbYQOtPmZ,0,1,4,0.0355,0.755,0.788,0,0.311,-4.572,0.216,0.465,140.055
PERCS | PERCZ,Denzel Curry,TA13OO,186626,54,2NjeQLvFsfeKdZoA7dbfL1,6,0,4,0.0222,0.707,0.617,0,0.345,-8.446,0.21,0.534,160.003
